CFF_reference,Critical_appraisal_keep,Critical_appraisal,Class,Spname_common,Spname_raw,Species_phylo,Spname_accepted,habitat,forage_light_level,mode_of_life,mode-of_life_ref,body_mass_us,body_mass_ref,Method_raw,Method,CFF_value_type,CFF,CFF_max_from_Lafitte_2022,Comments_from_Lafitte_2022,,
"Inger, R., Bennie, J., Davies, T. and Gaston, K., 2014. Potential Biological and Ecological Effects of Flickering Artificial Light. PLoS ONE, 9(5), p.e98631.",y,Not_appraised,Malacostraca,Common hermit crab ,Pagurus bernhardus,Pagurus_bernhardus,,demersal,high,forage,diet_of_sessile_prey-Items,2.81,"Heisterkamp, I. M., Schramm, A., De Beer, D., & Stief, P. (2010). Nitrous oxide production associated with coastal marine invertebrates. Marine Ecology Progress Series, 415, 1–9. https://doi.org/10.3354/meps08727",ERG,Electrophysiology,,56,56,,,
"Frank, TM 2003 Effects of light adaptation on the temporal resolution of deep-sea crustaceans Effects of light adaptation on the temporal resolution of deep-sea crustaceans Frank, TM",y,M,Malacostraca,Of Light Adaptation On Talal ,Pasiphaea multidentata,Pasiphaea_multidentata,"Pasiphaea multidentataÊEsmark, 1866",pelagic,low,ballistic,Based_on_ piscivorous_diet_seabase,3.87,based_on_CL_of_2.6_and_allomtery_in_seabase,ERG,Electrophysiology,mean,21,22.5,"mean ; scotopic, 19 Hz photopic; ""deep-sea"" considered as Low light exposure",,
"Frank, TM 2000 Temporal resolution in mesopelagic crustaceans Temporal resolution in mesopelagic crustaceans Frank, TM",y,M,Malacostraca,,Pasiphaea multidentata,Pasiphaea_multidentata,"Pasiphaea multidentataÊEsmark, 1866",pelagic,low,ballistic,Based_on_ piscivorous_diet_seabase,3.87,based_on_CL_of_2.6_and_allomtery_in_seabase,ERG,Electrophysiology,mean,17,18,"mean ; scotopic; ""deep-sea"" considered as Low light exposure",,
"Frank, TM 2000 Temporal resolution in mesopelagic crustaceans Temporal resolution in mesopelagic crustaceans Frank, TM",y,M,Malacostraca,,Phronima sedenteria,Phronima_sedentaria,"Phronima sedentariaÊForskŒl, 1775",pelagic,low,ballistic,"described_as_Phronima is a carnivorous predator feeding mainly on crustaceans, cnidarians, thaliaceans, and chaetognaths in Diebel, C.E., 1988. Observations on the anatomy and behavior of Phronima sedentaria (Forskal)(Amphipoda: Hyperiidea). Journal of crustacean biology, 8(1), pp.79-90",0.249,Elder et al 2015 Ecophysiological implications of vertical migration into oxygen minimum zones for the hyperiid amphipod Phronima sedentaria,ERG,Electrophysiology,mean,27,28,"mean ; scotopic; ""deep-sea"" considered as Low light exposure",,
"Frank, TM 2003 Effects of light adaptation on the temporal resolution of deep-sea crustaceans Effects of light adaptation on the temporal resolution of deep-sea crustaceans Frank, TM",y,M,Malacostraca,Of Light Adaptation On Talal ,Plesionika rossignoli,Plesionika_rossignoli,"Plesionika rossignoliÊCrosnier & Forest, 1968",pelagic,low,ballistic,"from descriptions across genus in Fanelli, E. and Cartes, J.E., 2004. Feeding habits of pandalid shrimps in the Alboran Sea (SW Mediterranean): influence of biological and environmental factors. Marine Ecology Progress Series, 280, pp.227-238.",0.07,"Fischer, W., Bianchi, G., & Scott, W. B. (1981). FAO Species Identification Sheets for Fishery Purposes, Eastern Central Atlantic. Department of Fisheries and Oceans, Canada, 6, 1–304. https://www.ptonline.com/articles/how-to-get-better-mfi-results",ERG,Electrophysiology,mean,14,15,"mean ; scotopic,13  Hz photopic; ""deep-sea"" considered as Low light exposure",,
"Frank, TM 2003 Effects of light adaptation on the temporal resolution of deep-sea crustaceans Effects of light adaptation on the temporal resolution of deep-sea crustaceans Frank, TM",y,M,Malacostraca,Of Light Adaptation On Talal ,Sergestes arcticus,Sergestes_arcticus,"Eusergestes arcticusÊKr¿yer, 1855",pelagic,low,ballistic,"Feeds_on_copepods_and_chaetognaths_Sealife_base_	Squires, H.J. 1996 Decapod crustaceans of Newfoundland, Labrador and the Canadian eastern Arctic. Fish. Res. Board Can., Manuscr. Rep. Ser. (Biol.) 810:212 p.",1.54,mean of genus from Donnelly et al 1993,ERG,Electrophysiology,mean,21,22.2,"mean ; scotopic, 16 Hz photopic; ""deep-sea"" considered as Low light exposure",,
"Frank, TM 2000 Temporal resolution in mesopelagic crustaceans Temporal resolution in mesopelagic crustaceans Frank, TM",y,M,Malacostraca,,Sergestes arcticus,Sergestes_arcticus,"Eusergestes arcticusÊKr¿yer, 1855",demersal,low,ballistic,Feeds on calanoid copepods and chaetognaths_seabase,0.29,from_mean_of_0.95cm_from_seabase_scaling,ERG,Electrophysiology,mean,17,18.3,"mean ; scotopic; ""deep-sea"" considered as Low light exposure",,
"Frank, TM 1999 Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Frank, TM",y,E,Malacostraca,Study Of in thein the ,Sergia filictum,Sergia_filicta,"Phorcosergia filictaÊBurkenroad, 1940",pelagic,low,forage,comeback,1.011,Donnelly et al  Proximate and elemental composition and energy content of mesopelagic crustaceans from the Eastern Gulf of Mexico,ERG,Electrophysiology,NA,25,25, 25 Hz individual value ; scotopic,,
"Frank, TM 2000 Temporal resolution in mesopelagic crustaceans Temporal resolution in mesopelagic crustaceans Frank, TM",y,M,Malacostraca,,Sergia filictum,Sergia_filicta,"Phorcosergia filictaÊBurkenroad, 1940",pelagic,low,ballistic,comeback,1.011,Donnelly et al  Proximate and elemental composition and energy content of mesopelagic crustaceans from the Eastern Gulf of Mexico,ERG,Electrophysiology,mean,24,25,"mean ; scotopic; ""deep-sea"" considered as Low light exposure",,
"Frank, TM 2000 Temporal resolution in mesopelagic crustaceans Temporal resolution in mesopelagic crustaceans Frank, TM",y,E,Malacostraca,,Sergia grandis,Sergia_grandis,"Phorcosergia grandisÊSund, 1920",pelagic,low,ballistic,comeback,1.8,Donnelly et al  Proximate and elemental composition and energy content of mesopelagic crustaceans from the Eastern Gulf of Mexico,ERG,Electrophysiology,NA,22,22,individual value ; scotopic,,
"Frank, TM 1999 Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Frank, TM",y,E,Malacostraca,Study Of in thein the ,Stylocheiron maximum,Stylocheiron_maximum,"Stylocheiron maximumÊHansen, 1908",pelagic,low,ballistic,"feeds on copepods Frank, TM 1999 Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Frank, TM",0.048,"Roger, C., 1978. Bioecological sheets on tropical Pacific euphausiids (No. 36). IRD Editions.",ERG,Electrophysiology,NA,36,36,36 Hz individual value; scotopic,,
"Frank, TM 2003 Effects of light adaptation on the temporal resolution of deep-sea crustaceans Effects of light adaptation on the temporal resolution of deep-sea crustaceans Frank, TM",y,M,Malacostraca,Of Light Adaptation On Talal ,Stylocheiron maximum,Stylocheiron_maximum,"Stylocheiron maximumÊHansen, 1908",pelagic,low,ballistic,"based on description from Frank, TM 1999 Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Frank, TM",0.1,"Rospars, J. P., & Meyer-Vernet, N. (2021). How fast do mobile organisms respond to stimuli? Response times from bacteria to elephants and whales. Physical Biology, 18(2). https://doi.org/10.1088/1478-3975/abcd88",ERG,Electrophysiology,mean,44,45,"34  ± 1.8 Hz mean ; scotopic; 44Hz photopic; ""deep-sea"" considered as Low light exposure; ""Acceptable V/log I curves were not obtained from S. maximum; therefore, K and latency data are also not available for this species. """,,
"Frank, TM 2000 Temporal resolution in mesopelagic crustaceans Temporal resolution in mesopelagic crustaceans Frank, TM",y,M,Malacostraca,,Stylocheiron maximum,Stylocheiron_maximum,"Stylocheiron maximumÊHansen, 1908",pelagic,low,ballistic,"based on description from Frank, TM 1999 Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Frank, TM",0.1,"Rospars, J. P., & Meyer-Vernet, N. (2021). How fast do mobile organisms respond to stimuli? Response times from bacteria to elephants and whales. Physical Biology, 18(2). https://doi.org/10.1088/1478-3975/abcd88",ERG,Electrophysiology,mean,40,41.6,"mean ; scotopic; ""deep-sea"" considered as Low light exposure",,
"Frank, TM 1999 Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Frank, TM",y,M,Malacostraca,Study Of in thein the ,Systellaspis debilis,Systellaspis_debilis,"Systellaspis debilisÊA.Milne-Edwards, 1881",pelagic,low,ballistic,feeds_on_other_eupahsipds_from_sealife_base,5.43,from CL length of 1.7 and length weight from sealifebase,ERG,Electrophysiology,mean,21,21.6,"mean ; scotopic; ""deep-sea"" considered as Low light exposure",,
"Frank, TM 2003 Effects of light adaptation on the temporal resolution of deep-sea crustaceans Effects of light adaptation on the temporal resolution of deep-sea crustaceans Frank, TM",y,M,Malacostraca,Of Light Adaptation On Talal ,Systellaspis debilis,Systellaspis_debilis,"Systellaspis debilisÊA.Milne-Edwards, 1881",pelagic,low,ballistic,based_on_food_items_including_cephlopods_seabase,1.2,"Rospars, J. P., & Meyer-Vernet, N. (2021). How fast do mobile organisms respond to stimuli? Response times from bacteria to elephants and whales. Physical Biology, 18(2). https://doi.org/10.1088/1478-3975/abcd88",ERG,Electrophysiology,mean,21,21.3,"mean ; scotopic, 15 Hz photopic; ""deep-sea"" considered as Low light exposure",,
"Caves, E. M., Frank, T. M., & Johnsen, S. (2016). Spectral sensitivity, spatial resolution and temporal resolution and their implications for conspecific signalling in cleaner shrimp. Journal of Experimental Biology, 219(4), 597–608. https://doi.org/10.1242/jeb.122275",y,,Malacostraca,Red white cleaner shrimp,Urocaridella antonbruunii,Urocaridella_antonbruunii,,demersal,high,forage,"Horká, Ivona et al. 2018. “Multiple Origins and Strong Phenotypic Convergence in Fish-Cleaning Palaemonid Shrimp Lineages.” Molecular Phylogenetics and Evolution 124(July 2017): 71–81.",0.35,"Based on weight of sister species of same size, taken from Bharathi, S., Jayakumar, T. K. T., Kumar, T. T. A., & Lal, K. K. (2023). Embryonic development of the ornamental shrimp, Urocaridella arabianensis Akash et al., 2020. Indian Journal of Geo-Marine Sciences, 52(8), 402–406. https://doi.org/10.56042/ijms.v52i08.11024",ERG,Electrophysiology,,40,,,,
"Coile, C.; Politz, C. H.; Smith, J. C. 1989 Behavioral Determination of Critical Flicker Fusion in Dogs Behavioral Determination of Critical Flicker Fusion in Dogs Coile, C.; Politz, C. H.; Smith, J. C.",y,M,Mammalia,Domestic dog,Canis_lupus,Canis_lupus,"Canis lupusÊsubsp.ÊfamiliarisÊLinnaeus, 1758",terrestrial,high,pursuit,Handbook_of_mammals_of_the_world,13900,"Coile DC, Pollitz CH, Smith JC (1989) Behavioral determination of critical flicker fusion in dogs. Physiol Behav 45: 1087Ð1092.",Behavioural,Behavioural,range,84,94,diagram reading (Fig. 4.) at maximum 1206 cd/m_ intensity,,
"Dodt, E.; Wirth, A.  1953 Differentiation between rods and cones by flicker electroretinography in pigeon and guinea pig Differentiation between rods and cones by flicker electroretinography in pigeon and guinea pig Dodt, E.; Wirth, A. ",y,H,Mammalia,Guinea Pig,Cavia aperea f. porcellus,Cavia_porcellus,"Cavia porcellusÊLinnaeus, 1758",terrestrial,low,forage,Handbook_of_mammals_of_the_world,629,amniote,ERG,Electrophysiology,range,47.5,50,at maximum light intensity of 5000 lux,,
"Horsten, G. P. M., & E, W. J. (1962). Comparison of critical fusion frequency in diurnal and nocturnal retina of vertebrates. Archives Internationales de Physiologie El de Biochimie, 70(5), 660–670.",y,,Mammalia,European hedgehog,Erinaceus europaeus,Erinaceus_europaeus,,terrestrial,low,forage,"Haigh, A. J. (2011). The Ecology of the European hedgehog (Erinaceus europaeus) in rural Ireland. In PhD Thesis, University College Cork (Issue March).",778,amniote,ERG,Electrophysiology,,30,,,,
"LANKHEET, MJM; VANWEZEL, RJA; VANDEGRIND, WA 1991 LIGHT ADAPTATION AND FREQUENCY TRANSFER PROPERTIES OF CAT HORIZONTAL CELLS LIGHT ADAPTATION AND FREQUENCY TRANSFER PROPERTIES OF CAT HORIZONTAL CELLS LANKHEET, MJM; VANWEZEL, RJA; VANDEGRIND, WA",y,H,Mammalia,House cat,Felis catus,Felis_silvestris,"Felis catusÊLinnaeus, 1758",terrestrial,low,pursuit,Handbook_Mammals_of_the_world,4573.08,amniote,ERG,Electrophysiology,range,70,110,range for Horizontal cells; rarely 90-110 Hz CFF recorded for wide bandwidth units,,
"Loop, M. S.; Berkeley, M. A.  1975 Temporal modulation sensitivity of the cat Ñ I: Behavioral measures Temporal modulation sensitivity of the cat Ñ I: Behavioral measures Loop, M. S.; Berkeley, M. A. ",y,M,Mammalia,House cat,Felis catus,Felis_silvestris,"Felis catusÊLinnaeus, 1758",terrestrial,low,pursuit,Handbook_Mammals_of_the_world,4573.08,amniote,Behavioural,Behavioural,range,47.5,55,range of measurements for CFF and TSMF (Temporal modulation sensitivity function) (NB: but concomitent measurement for Humans at CFF of 25 Hz so highest intensity ?),,
"Rager, G; Singer, W 1998 The response of cat visual cortex to flicker stimuli of variable frequency The response of cat visual cortex to flicker stimuli of variable frequency Rager, G; Singer, W",y,H,Mammalia,House cat,Felis catus,Felis_silvestris,"Felis catusÊLinnaeus, 1758",terrestrial,low,pursuit,Handbook_Mammals_of_the_world,4573.08,amniote,Behavioural,Behavioural,minimum,40,40,"""the visual system exhibits a preference to engage in oscillatory activity in the frequency ranges of 6-8 Hz and 16 - 40 Hz""",,
"VANTOI, V; RIVA, CE 1995 VARIATIONS OF BLOOD-FLOW AT OPTIC-NERVE HEAD INDUCED BY SINUSOIDAL FLICKER STIMULATION IN CATS VARIATIONS OF BLOOD-FLOW AT OPTIC-NERVE HEAD INDUCED BY SINUSOIDAL FLICKER STIMULATION IN CATS VANTOI, V; RIVA, CE",y,M,Mammalia,House cat,Felis catus,Felis_silvestris,"Felis catusÊLinnaeus, 1758",terrestrial,low,pursuit,Handbook_Mammals_of_the_world,4573.08,amniote,Physiological,Electrophysiology,Unknown,75,90,value from the summarizing table ; 90 Hz individual highest CFF measured for maximum light intensity tested ; 40 Hz for 30 td ; 80 Hz for 30 000 td,,
,y,Not_appraised,Mammalia,humans,Homo sapiens,Homo_sapiens,,terrestrial,high,forage,Handbook_Mammals_of_the_world,62035,amniote,ERG,Electrophysiology,,65,65,,,
"SPEAR, PD; MOORE, RJ; KIM, CBY; XUE, JT; TUMOSA, N 1994 EFFECTS OF AGING ON THE PRIMATE VISUAL-SYSTEM - SPATIAL AND TEMPORAL PROCESSING BY LATERAL GENICULATE NEURONS IN YOUNG-ADULT AND OLD RHESUS-MONKEYS EFFECTS OF AGING ON THE PRIMATE VISUAL-SYSTEM - SPATIAL AND TEMPORAL PROCESSING BY LATERAL GENICULATE NEURONS IN YOUNG-ADULT AND OLD RHESUS-MONKEYS SPEAR, PD; MOORE, RJ; KIM, CBY; XUE, JT; TUMOSA, N",y,M,Mammalia,Rhesus macaque,Macaca mulatta,Macaca_mulatta,"Macaca mulattaÊZimmermann, 1780",terrestrial,high,forage,Handbook_Mammals_of_the_world,6614,amniote,EEG,Electrophysiology,mean,23.4,25.9,"mean values for parvocellular cells of the lateral geniculate nucleus of rhesus macaques ; and magnocellular cells ( 20,26 ± 2,06 Hz) cells  ; both age groups mixed because no significant difference between young and old",,
"Yuan, Nini; Liang, Zhen; Yang, Yun; Li, Guangxing; Zhou, Yifeng 2014 Changes of spatial and temporal frequency tuning properties of neurons in the middle temporal area of aged rhesus monkeys Changes of spatial and temporal frequency tuning properties of neurons in the middle temporal area of aged rhesus monkeys Yuan, Nini; Liang, Zhen; Yang, Yun; Li, Guangxing; Zhou, Yifeng",y,M,Mammalia,Rhesus macaque,Macaca mulatta,Macaca_mulatta,"Macaca mulattaÊZimmermann, 1780",terrestrial,high,forage,Handbook_Mammals_of_the_world,6614,amniote,EEG,Electrophysiology,mean,21.9,31.9,"mean value for Middle Temporal area of the brain of young monkey ; 16,87 ± 7,47 Hz for aged monkeys ; significant difference",,
"Stavros, Kara A.; Kiorpes, Lynne 2008 Behavioral measurement of temporal contrast sensitivity development in macaque monkeys (Macaca nemestrina) Behavioral measurement of temporal contrast sensitivity development in macaque monkeys (Macaca nemestrina) Stavros, Kara A.; Kiorpes, Lynne",y,L,Mammalia,Southern pig-tailed macaque,Macaca nemestrina,Macaca_nemestrina,"Macaca nemestrinaÊLinnaeus, 1766",terrestrial,high,forage,Handbook_Mammals_of_the_world,7603.39,amniote,Behavioural,Behavioural,mean,69,89,mean for adult monkeys ; range 55-89 Hz ; individual values of  46 and 44 Hz for 5 week-old infants,,
"Salelkar, Siddhesh; Ray, Supratim 2020 Interaction between steady-state visually evoked potentials at nearby flicker frequencies Interaction between steady-state visually evoked potentials at nearby flicker frequencies Salelkar, Siddhesh; Ray, Supratim",y,M,Mammalia,Barbary macaque,Macaca radiata,Macaca_radiata,"Macaca radiataÊƒ.Geoffroy Saint-Hilaire, 1812",terrestrial,high,forage,Handbook_Mammals_of_the_world,5132.245,amniote,EEG,Electrophysiology,minimum,50,50,diagram reading for local field potentials and EEG (supplementary figure 2); still responses at higher contrast for higher temporal frequency (2-50 Hz) ; peak at 8-16 Hz,,
"Yang, Shengyan; Luo, Xiaopeng; Xiong, Guoyin; So, Kwok-Fai; Yang, Hui; Xu, Ying 2015 The electroretinogram of Mongolian gerbil (Meriones unguiculatus): Comparison to mouse The electroretinogram of Mongolian gerbil (Meriones unguiculatus): Comparison to mouse Yang, Shengyan; Luo, Xiaopeng; Xiong, Guoyin; So, Kwok-Fai; Yang, Hui; Xu, Ying",y,M,Mammalia,Mongolian gerbil,Meriones unguiculatus,Meriones_unguiculatus,"Meriones unguiculatusÊMilne-Edwards, 1867",terrestrial,low,forage,Handbook_Mammals_of_the_world,58.1,amniote,ERG,Electrophysiology,minimum,55,55,not flicker frequency maximum,,
"Gresh, J; Goletz, PW; Crouch, RK; Rohrer, B 2003 Structure-function analysis of rods and cones in juvenile, adult, and aged C57BL/6 and Balb/c mice Structure-function analysis of rods and cones in juvenile, adult, and aged C57BL/6 and Balb/c mice Gresh, J; Goletz, PW; Crouch, RK; Rohrer, B",y,M,Mammalia,House mouse,Mus musculus,Mus_musculus,"Mus musculusÊLinnaeus, 1758",terrestrial,low,forage,Handbook_birds_of_the_world,20.5,amniote,ERG,Electrophysiology,mean,30,30,mean for the mid-wavelentgh cone only (not short wavelentgh); 'above 30 Hz' (max frequency tested) and 20 Hz for albino mice; for one illuminance,,
"Nomura, Yuichiro; Ikuta, Shohei; Yokota, Satoshi; Mita, Junpei; Oikawa, Mami; Matsushima, Hiroki; Amano, Akira; Shimonomura, Kazuhiro; Seya, Yasuhiro; Koike, Chieko 2019 Evaluation of critical flicker-fusion frequency measurement methods using a touchscreen-based visual temporal discrimination task in the behaving mouse Evaluation of critical flicker-fusion frequency measurement methods using a touchscreen-based visual temporal discrimination task in the behaving mouse Nomura, Yuichiro; Ikuta, Shohei; Yokota, Satoshi; Mita, Junpei; Oikawa, Mami; Matsushima, Hiroki; Amano, Akira; Shimonomura, Kazuhiro; Seya, Yasuhiro; Koike, Chieko",y,M,Mammalia,House mouse,Mus musculus,Mus_musculus,"Mus musculusÊLinnaeus, 1758",terrestrial,low,forage,Handbook_Mammals_of_the_world,20.5,amniote,Behavioural,Behavioural,mean,13.6,14.6,"mean value for randomized frequencies ; 17,3 ± 2,9 Hz for ascending method ; but the latter tend to overestimate",,
"Nusinowitz, S.; Ridder, W. H., III; Ramirez, J. 2007 Temporal response properties of the primary and secondary rod-signaling pathways in normal and Gnat2 mutant mice Temporal response properties of the primary and secondary rod-signaling pathways in normal and Gnat2 mutant mice Nusinowitz, S.; Ridder, W. H., III; Ramirez, J.",y,M,Mammalia,House mouse,Mus musculus,Mus_musculus,"Mus musculusÊLinnaeus, 1758",terrestrial,low,forage,Handbook_Mammals_of_the_world,20.5,amniote,ERG,Electrophysiology,mean,57,63,diagram reading (Fig 6); for secondary rod-pathway ; 30 Hz for primary rod pathway ; but theoratical value based on model (range of tested frequency 1-30 Hz) ; could be higher if cones taken into account also,,
"Ridder, WH; Nusinowitz, S 2006 The visual evoked potential in the mouse - Origins and response characteristics The visual evoked potential in the mouse - Origins and response characteristics Ridder, WH; Nusinowitz, S",y,M,Mammalia,House mouse,Mus musculus,Mus_musculus,"Mus musculusÊLinnaeus, 1758",terrestrial,low,forage,Handbook_Mammals_of_the_world,20.5,amniote,ERG,Electrophysiology,extrapolation,41.3,41.3,"Photopic (Cone mediated vision) ; extrapolation from data (double exponential fit) ; 9,0 Hz for VEPs; Scotopic (rod-mediated vision) = 26.2 Hz; extrapolation from data (double exponential fit) ; 7,1 Hz for VEPs",,
"Tanimoto, Naoyuki; Muehlfriedel, Regine L.; Fischer, M. Dominik; Fahl, Edda; Humphries, Peter; Biel, Martin; Seeliger, Mathias W. 2009 Vision tests in the mouse: Functional phenotyping with electroretinography Vision tests in the mouse: Functional phenotyping with electroretinography Tanimoto, Naoyuki; Muehlfriedel, Regine L.; Fischer, M. Dominik; Fahl, Edda; Humphries, Peter; Biel, Martin; Seeliger, Mathias W.",n,M,Mammalia,House mouse,Mus musculus,Mus_musculus,"Mus musculusÊLinnaeus, 1758",terrestrial,low,forage,Handbook_Mammals_of_the_world,20.5,amniote,ERG,Electrophysiology,mean,5,5,"scotopic (rod mediated vision); ""flicker responses vanish at about""",,
"Umino, Yumiko; Guo, Ying; Chen, Ching-Kang; Pasquale, Rose; Solessio, Eduardo 2019 Rod Photoresponse Kinetics Limit Temporal Contrast Sensitivity in Mesopic Vision Rod Photoresponse Kinetics Limit Temporal Contrast Sensitivity in Mesopic Vision Umino, Yumiko; Guo, Ying; Chen, Ching-Kang; Pasquale, Rose; Solessio, Eduardo",y,M,Mammalia,House mouse,Mus musculus,Mus_musculus,"Mus musculusÊLinnaeus, 1758",terrestrial,low,forage,Handbook_Mammals_of_the_world,20.5,amniote,Behavioural,Behavioural,Unknown,41,41,diagram reading for wild-type at 8200 ph/sec/µm2; threshold: 76% correct responses in alternative forced-choice,,
"Umino, Yumiko; Guo, Ying; Chen, Ching-Kang; Pasquale, Rose; Solessio, Eduardo 2019 Rod Photoresponse Kinetics Limit Temporal Contrast Sensitivity in Mesopic Vision Rod Photoresponse Kinetics Limit Temporal Contrast Sensitivity in Mesopic Vision Umino, Yumiko; Guo, Ying; Chen, Ching-Kang; Pasquale, Rose; Solessio, Eduardo",y,L,Mammalia,House mouse,Mus musculus,Mus_musculus,"Mus musculusÊLinnaeus, 1758",terrestrial,low,forage,Handbook_Mammals_of_the_world,20.5,amniote,ERG,Electrophysiology,Unknown,36,36,diagram reading for wild-type at 1600 ph/sec/µm2,,
"Yang, Shengyan; Luo, Xiaopeng; Xiong, Guoyin; So, Kwok-Fai; Yang, Hui; Xu, Ying 2015 The electroretinogram of Mongolian gerbil (Meriones unguiculatus): Comparison to mouse The electroretinogram of Mongolian gerbil (Meriones unguiculatus): Comparison to mouse Yang, Shengyan; Luo, Xiaopeng; Xiong, Guoyin; So, Kwok-Fai; Yang, Hui; Xu, Ying",y,M,Mammalia,House mouse,Mus musculus,Mus_musculus,"Mus musculusÊLinnaeus, 1758",terrestrial,low,forage,Handbook_Mammals_of_the_world,20.5,amniote,ERG,Electrophysiology,mean,36,37,mean value,,
"Lansing, Marihan; Sauve, Yves; Dimopoulos, Ioannis; Field, Catherine J.; Suh, Miyoung; Wizzard, Pamela; Goruk, Susan; Lim, David; Muto, Mitsuru; Wales, Paul; Turner, Justine 2018 Parenteral Lipid Dose Restriction With Soy Oil, Not Fish Oil, Preserves Retinal Function in Neonatal Piglets Parenteral Lipid Dose Restriction With Soy Oil, Not Fish Oil, Preserves Retinal Function in Neonatal Piglets Lansing, Marihan; Sauve, Yves; Dimopoulos, Ioannis; Field, Catherine J.; Suh, Miyoung; Wizzard, Pamela; Goruk, Susan; Lim, David; Muto, Mitsuru; Wales, Paul; Turner, Justine",y,M,Mammalia,Landrace-Large white cross piglets,NA,Sus_scrofa,"Sus scrofaÊLinnaeus, 1758",terrestrial,high,forage,Handbook_Mammals_of_the_world,135000,amniote,ERG,Electrophysiology,minimum,60,60,maximum tested value 60 Hz,,
"Smith, E.L.; Witzel, D. A.; Pitts, D. G. 1976 THE WAVEFORM AND SCOTOPIC CFF OF THE SHEEP ELECTRORETINOGRAM THE WAVEFORM AND SCOTOPIC CFF OF THE SHEEP ELECTRORETINOGRAM Smith, E.L.; Witzel, D. A.; Pitts, D. G.",y,M,Mammalia,Dealine-Merino cross sheep,NA,Ovis_aries,"Ovis ariesÊLinnaeus, 1758",terrestrial,high,forage,Handbook_Mammals_of_the_world,110000,amniote,ERG,Electrophysiology,minimum,60,60,still responses at 60 fps maximum frequency tested for photopic system; range of 30-35 fps for scotopic system; frame per second and not Hz given ,,
"Ioshimoto, Gabriela Lourencon; Camargo, Amanda Alves; Passos Liber, Andre Mauricio; Nagy, Balazs Vince; Damico, Francisco Max; Ventura, Dora Fix 2018 Comparison between albino and pigmented rabbit ERGs Comparison between albino and pigmented rabbit ERGs Ioshimoto, Gabriela Lourencon; Camargo, Amanda Alves; Passos Liber, Andre Mauricio; Nagy, Balazs Vince; Damico, Francisco Max; Ventura, Dora Fix",y,H,Mammalia,English butterfly rabbit,Oryctolagus cuniculus,Oryctolagus_cuniculus,"Oryctolagus cuniculusÊLinnaeus, 1758",terrestrial,high,forage,Handbook_Mammals_of_the_world,1900,amniote,ERG,Electrophysiology,minimum,30,30,still phasic responses to flicker at 30 Hz ; only one luminance,,
"Ezra-Elia, Raaya; Banin, Eyal; Honig, Hen; Rosov, Alexander; Obolensky, Alexey; Averbukh, Edward; Hauswirth, William W.; Gootwine, Elisha; Ofri, Ron 2014 Flicker cone function in normal and day blind sheep: a large animal model for human achromatopsia caused by CNGA3 mutation Flicker cone function in normal and day blind sheep: a large animal model for human achromatopsia caused by CNGA3 mutation Ezra-Elia, Raaya; Banin, Eyal; Honig, Hen; Rosov, Alexander; Obolensky, Alexey; Averbukh, Edward; Hauswirth, William W.; Gootwine, Elisha; Ofri, Ron",y,M,Mammalia,Sheep,Ovis aries,Ovis_aries,"Ovis ariesÊLinnaeus, 1758",terrestrial,high,forage,Handbook_of_mammals_of_the_world,110000,amniote,ERG,Electrophysiology,minimum,80,80,still detectable at maximum frequency tested of 80 Hz; maximum 10 cd/m_ luminance,,
"Bernholz, C. and Matthews, M., 1975. Critical flicker frequency in a harp seal: Evidence for duplex retinal organization. Vision Research, 15(6), pp.733-736.",y,Not_appraised,Mammalia,Harp seal,Pagophilus groenlandicus,Pagophilus_groenlandicus,,pelagic,low,ballistic,Handbook_Mammals_of_the_world,141125,amniote,Behavioural,Behavioural,,32.7,32.7,,,
"Bourque, Stephane L.; Kuny, Sharee; Reyes, Laura M.; Davidge, Sandra T.; Sauve, Yves 2013 Prenatal Hypoxia Is Associated with Long-Term Retinal Dysfunction in Rats Prenatal Hypoxia Is Associated with Long-Term Retinal Dysfunction in Rats Bourque, Stephane L.; Kuny, Sharee; Reyes, Laura M.; Davidge, Sandra T.; Sauve, Yves",y,M,Mammalia,Brown rat,Rattus norvegicus,Rattus_norvegicus,"Rattus norvegicusÊBerkenhout, 1769",terrestrial,low,forage,Handbook_of_mammals_of_the_world,280,amniote,ERG,Electrophysiology,mean,42,42,mean,,
